"Block","Treatment","Surface_area_cm2","Species","Tissue","ID","Total_mass_g","Growth_form"
1,"F0.5",400,"OtherForb","BelowStem","1723",0.024,"Forb"
1,"F0.5",400,"Sphagnum","Green","1707",0.526,"Moss"
1,"F0.5",400,"OtherMoss","Green","1646",12.532,"Moss"
1,"F0.5",400,"Lichen","Live","1647",15.007,"Lichen"
1,"F0.5",400,"Attached","Wood",NA,0,"Litter"
1,"F0.5",400,"Attached","Litter","1739",41.202,"Litter"
1,"F1",400,"Erivag","BladeSheathInflCulm","233",1.624,"Graminoid"
1,"F1",400,"Erivag","Rhizome","234",0.816,"Graminoid"
1,"F1",400,"Carbig","BladeSheathInflCulm","308",0.739,"Graminoid"
1,"F1",400,"Carbig","Rhizome","316",8.294,"Graminoid"
1,"F1",400,"OtherGraminoid","BladeSheathInflCulm",NA,0,"Graminoid"
1,"F1",400,"OtherGraminoid","Rhizome",NA,0,"Graminoid"
1,"F1",400,"Betnan","NewLeaves","235",2.319,"Deciduous"
1,"F1",400,"Betnan","NewStems","236",0.545,"Deciduous"
1,"F1",400,"Betnan","OldStems","237",13.576,"Deciduous"
1,"F1",400,"Betnan","Inflor","238",0.058,"Deciduous"
1,"F1",400,"Betnan","BelowStem","239",29.178,"Deciduous"
1,"F1",400,"Salpul","NewLeaves",NA,0,"Deciduous"
1,"F1",400,"Salpul","NewStems",NA,0,"Deciduous"
1,"F1",400,"Salpul","OldStems",NA,0,"Deciduous"
1,"F1",400,"Salpul","Inflor",NA,0,"Deciduous"
1,"F1",400,"Salpul","BelowStem",NA,0,"Deciduous"
1,"F1",400,"Vaculi","NewLeaves","317",0.145,"Deciduous"
1,"F1",400,"Vaculi","NewStems","318",0.028,"Deciduous"
1,"F1",400,"Vaculi","OldStems","319",0.343,"Deciduous"
1,"F1",400,"Vaculi","Inflor",NA,0,"Deciduous"
1,"F1",400,"Vaculi","BelowStem","320",0.129,"Deciduous"
1,"F1",400,"OtherDeciduous","NewLeaves",NA,0,"Deciduous"
1,"F1",400,"OtherDeciduous","NewStems",NA,0,"Deciduous"
1,"F1",400,"OtherDeciduous","OldStems",NA,0,"Deciduous"
1,"F1",400,"OtherDeciduous","Inflor",NA,0,"Deciduous"
1,"F1",400,"OtherDeciduous","BelowStem",NA,0,"Deciduous"
1,"F1",400,"Ledpal","NewLeaves","240",2.5,"Evergreen"
1,"F1",400,"Ledpal","NewStems","301",0.616,"Evergreen"
1,"F1",400,"Ledpal","OldLeaves","302",2.544,"Evergreen"
1,"F1",400,"Ledpal","OldStems","303",13.691,"Evergreen"
1,"F1",400,"Ledpal","Inflor","304",0.455,"Evergreen"
1,"F1",400,"Ledpal","BelowStem","305",19.964,"Evergreen"
1,"F1",400,"Vacvit","NewLeaves","310",3.125,"Evergreen"
1,"F1",400,"Vacvit","NewStems","311",0.542,"Evergreen"
1,"F1",400,"Vacvit","OldLeaves","312",4.595,"Evergreen"
1,"F1",400,"Vacvit","OldStems","313",2.414,"Evergreen"
1,"F1",400,"Vacvit","Inflor","314",0.451,"Evergreen"
1,"F1",400,"Vacvit","BelowStem","315",8.244,"Evergreen"
1,"F1",400,"Castet","NewStems","392",0.087,"Evergreen"
1,"F1",400,"Castet","OldStems","393",1.386,"Evergreen"
1,"F1",400,"Castet","Inflor",NA,0,"Evergreen"
1,"F1",400,"Castet","BelowStem","394",1.079,"Evergreen"
1,"F1",400,"OtherEvergreen","NewLeaves",NA,0,"Evergreen"
1,"F1",400,"OtherEvergreen","NewStems",NA,0,"Evergreen"
1,"F1",400,"OtherEvergreen","OldLeaves",NA,0,"Evergreen"
1,"F1",400,"OtherEvergreen","OldStems",NA,0,"Evergreen"
1,"F1",400,"OtherEvergreen","Inflor",NA,0,"Evergreen"
1,"F1",400,"OtherEvergreen","BelowStem",NA,0,"Evergreen"
1,"F1",400,"Rubcha","LeavesStems","395",0.503,"Forb"
1,"F1",400,"Rubcha","InflorStalks",NA,0,"Forb"
1,"F1",400,"Rubcha","BelowStem","321",3.981,"Forb"
1,"F1",400,"Petfri","LeavesStems",NA,0,"Forb"
1,"F1",400,"Petfri","InflorStalks",NA,0,"Forb"
1,"F1",400,"Petfri","BelowStem",NA,0,"Forb"
1,"F1",400,"OtherForb","LeavesStems","306",0.108,"Forb"
1,"F1",400,"OtherForb","InflorStalks",NA,0,"Forb"
1,"F1",400,"OtherForb","BelowStem",NA,0,"Forb"
1,"F1",400,"Sphagnum","Green",NA,0,"Moss"
1,"F1",400,"OtherMoss","Green","232",40.438,"Moss"
1,"F1",400,"Lichen","Live","231",13.652,"Lichen"
1,"F1",400,"Attached","Wood",NA,0,"Litter"
1,"F1",400,"Attached","Litter","307",4.456,"Litter"
1,"F2",400,"Erivag","BladeSheathInflCulm","88",7.047,"Graminoid"
1,"F2",400,"Erivag","Rhizome","68",2.054,"Graminoid"
1,"F2",400,"Carbig","BladeSheathInflCulm","86",0.525,"Graminoid"
1,"F2",400,"Carbig","Rhizome","482",1.935,"Graminoid"
1,"F2",400,"OtherGraminoid","BladeSheathInflCulm","483",0.951,"Graminoid"
1,"F2",400,"OtherGraminoid","Rhizome","484",4.28,"Graminoid"
1,"F2",400,"Betnan","NewLeaves","89",1.5,"Deciduous"
1,"F2",400,"Betnan","NewStems","69",0.212,"Deciduous"
1,"F2",400,"Betnan","OldStems","72",4.119,"Deciduous"
1,"F2",400,"Betnan","Inflor","75",0.01,"Deciduous"
1,"F2",400,"Betnan","BelowStem","415",10.69,"Deciduous"
1,"F2",400,"Salpul","NewLeaves",NA,0,"Deciduous"
1,"F2",400,"Salpul","NewStems",NA,0,"Deciduous"
1,"F2",400,"Salpul","OldStems",NA,0,"Deciduous"
1,"F2",400,"Salpul","Inflor",NA,0,"Deciduous"
1,"F2",400,"Salpul","BelowStem",NA,0,"Deciduous"
1,"F2",400,"Vaculi","NewLeaves",NA,0,"Deciduous"
1,"F2",400,"Vaculi","NewStems",NA,0,"Deciduous"
1,"F2",400,"Vaculi","OldStems",NA,0,"Deciduous"
1,"F2",400,"Vaculi","Inflor",NA,0,"Deciduous"
1,"F2",400,"Vaculi","BelowStem",NA,0,"Deciduous"
1,"F2",400,"OtherDeciduous","NewLeaves",NA,0,"Deciduous"
1,"F2",400,"OtherDeciduous","NewStems",NA,0,"Deciduous"
1,"F2",400,"OtherDeciduous","OldStems",NA,0,"Deciduous"
1,"F2",400,"OtherDeciduous","Inflor",NA,0,"Deciduous"
1,"F2",400,"OtherDeciduous","BelowStem",NA,0,"Deciduous"
1,"F2",400,"Ledpal","NewLeaves","70",8.017,"Evergreen"
1,"F2",400,"Ledpal","NewStems","73",2.81,"Evergreen"
1,"F2",400,"Ledpal","OldLeaves","76",4.404,"Evergreen"
1,"F2",400,"Ledpal","OldStems","79",24.598,"Evergreen"
1,"F2",400,"Ledpal","Inflor","85",1.153,"Evergreen"
1,"F2",400,"Ledpal","BelowStem","82",56.116,"Evergreen"
1,"F2",400,"Vacvit","NewLeaves","78",1.447,"Evergreen"
1,"F2",400,"Vacvit","NewStems","81",0.244,"Evergreen"
1,"F2",400,"Vacvit","OldLeaves","84",3.463,"Evergreen"
1,"F2",400,"Vacvit","OldStems","87",2.262,"Evergreen"
1,"F2",400,"Vacvit","Inflor",NA,0,"Evergreen"
1,"F2",400,"Vacvit","BelowStem","495",2.652,"Evergreen"
1,"F2",400,"Castet","NewStems",NA,0,"Evergreen"
1,"F2",400,"Castet","OldStems",NA,0,"Evergreen"
1,"F2",400,"Castet","Inflor",NA,0,"Evergreen"
1,"F2",400,"Castet","BelowStem",NA,0,"Evergreen"
1,"F2",400,"OtherEvergreen","NewLeaves",NA,0,"Evergreen"
1,"F2",400,"OtherEvergreen","NewStems",NA,0,"Evergreen"
1,"F2",400,"OtherEvergreen","OldLeaves",NA,0,"Evergreen"
1,"F2",400,"OtherEvergreen","OldStems",NA,0,"Evergreen"
1,"F2",400,"OtherEvergreen","Inflor",NA,0,"Evergreen"
1,"F2",400,"OtherEvergreen","BelowStem",NA,0,"Evergreen"
1,"F2",400,"Rubcha","LeavesStems","77",1.319,"Forb"
1,"F2",400,"Rubcha","InflorStalks","80",0.009,"Forb"
1,"F2",400,"Rubcha","BelowStem","83",5.014,"Forb"
1,"F2",400,"Petfri","LeavesStems",NA,0,"Forb"
1,"F2",400,"Petfri","InflorStalks",NA,0,"Forb"
1,"F2",400,"Petfri","BelowStem",NA,0,"Forb"
