"Block","Treatment","Quad","Surface_area_cm2","Species","Tissue","Mass_g"
1,"CT",4,400,"Salpul","BelowStem",0
1,"CT",4,400,"Vaculi","NewLeaves",0
1,"CT",4,400,"Vaculi","NewStems",0
1,"CT",4,400,"Vaculi","OldStems",0
1,"CT",4,400,"Vaculi","Inflor",0
1,"CT",4,400,"Vaculi","BelowStem",0
1,"CT",4,400,"OtherDeciduous","NewLeaves",0
1,"CT",4,400,"OtherDeciduous","NewStems",0
1,"CT",4,400,"OtherDeciduous","OldStems",0
1,"CT",4,400,"OtherDeciduous","Inflor",0
1,"CT",4,400,"OtherDeciduous","BelowStem",0
1,"CT",4,400,"Ledpal","NewLeaves",1.192
1,"CT",4,400,"Ledpal","NewStems",0.293
1,"CT",4,400,"Ledpal","OldLeaves",1.016
1,"CT",4,400,"Ledpal","OldStems",4
1,"CT",4,400,"Ledpal","Inflor",0.142
1,"CT",4,400,"Ledpal","BelowStem",17.978
1,"CT",4,400,"Vacvit","NewLeaves",0.682
1,"CT",4,400,"Vacvit","NewStems",0.154
1,"CT",4,400,"Vacvit","OldLeaves",1.832
1,"CT",4,400,"Vacvit","OldStems",1.297
1,"CT",4,400,"Vacvit","Inflor",0.016
1,"CT",4,400,"Vacvit","BelowStem",2.557
1,"CT",4,400,"Castet","NewStems",0
1,"CT",4,400,"Castet","OldStems",0
1,"CT",4,400,"Castet","Inflor",0
1,"CT",4,400,"Castet","BelowStem",0
1,"CT",4,400,"OtherEvergreen","NewLeaves",0
1,"CT",4,400,"OtherEvergreen","NewStems",0
1,"CT",4,400,"OtherEvergreen","OldLeaves",0
1,"CT",4,400,"OtherEvergreen","OldStems",0
1,"CT",4,400,"OtherEvergreen","Inflor",0
1,"CT",4,400,"OtherEvergreen","BelowStem",0
1,"CT",4,400,"Rubcha","LeavesStems",0
1,"CT",4,400,"Rubcha","InflorStalks",0
1,"CT",4,400,"Rubcha","BelowStem",2.454
1,"CT",4,400,"Petfri","LeavesStems",0
1,"CT",4,400,"Petfri","InflorStalks",0
1,"CT",4,400,"Petfri","BelowStem",0
1,"CT",4,400,"OtherForb","LeavesStems",0
1,"CT",4,400,"OtherForb","InflorStalks",0
1,"CT",4,400,"OtherForb","BelowStem",0
1,"CT",4,400,"Sphagnum","Green",0
1,"CT",4,400,"OtherMoss","Green",8.483
1,"CT",4,400,"Lichen","Live",3.722
1,"CT",4,400,"Attached","Wood",0
1,"CT",4,400,"Attached","Litter",0.886
1,"CT",4,400,"Loose","Litter",NA
1,"F0.5",1,400,"Erivag","BladeSheathInflCulm",0.558
1,"F0.5",1,400,"Erivag","Rhizome",0.075
1,"F0.5",1,400,"Carbig","BladeSheathInflCulm",0.358
1,"F0.5",1,400,"Carbig","Rhizome",3.718
1,"F0.5",1,400,"OtherGraminoid","BladeSheathInflCulm",0
1,"F0.5",1,400,"OtherGraminoid","Rhizome",0
1,"F0.5",1,400,"Betnan","NewLeaves",1.56
1,"F0.5",1,400,"Betnan","NewStems",0.269
1,"F0.5",1,400,"Betnan","OldStems",9.69
1,"F0.5",1,400,"Betnan","Inflor",0
1,"F0.5",1,400,"Betnan","BelowStem",8.358
1,"F0.5",1,400,"Salpul","NewLeaves",0
1,"F0.5",1,400,"Salpul","NewStems",0
1,"F0.5",1,400,"Salpul","OldStems",0
1,"F0.5",1,400,"Salpul","Inflor",0
1,"F0.5",1,400,"Salpul","BelowStem",0
1,"F0.5",1,400,"Vaculi","NewLeaves",0.174
1,"F0.5",1,400,"Vaculi","NewStems",0.035
1,"F0.5",1,400,"Vaculi","OldStems",0.777
1,"F0.5",1,400,"Vaculi","Inflor",0
1,"F0.5",1,400,"Vaculi","BelowStem",0.287
1,"F0.5",1,400,"OtherDeciduous","NewLeaves",0
1,"F0.5",1,400,"OtherDeciduous","NewStems",0
1,"F0.5",1,400,"OtherDeciduous","OldStems",0
1,"F0.5",1,400,"OtherDeciduous","Inflor",0
1,"F0.5",1,400,"OtherDeciduous","BelowStem",0
1,"F0.5",1,400,"Ledpal","NewLeaves",1.282
1,"F0.5",1,400,"Ledpal","NewStems",0.212
1,"F0.5",1,400,"Ledpal","OldLeaves",0.925
1,"F0.5",1,400,"Ledpal","OldStems",8.153
1,"F0.5",1,400,"Ledpal","Inflor",0.081
1,"F0.5",1,400,"Ledpal","BelowStem",12.518
1,"F0.5",1,400,"Vacvit","NewLeaves",0.184
1,"F0.5",1,400,"Vacvit","NewStems",0.037
1,"F0.5",1,400,"Vacvit","OldLeaves",0.575
1,"F0.5",1,400,"Vacvit","OldStems",0.609
1,"F0.5",1,400,"Vacvit","Inflor",0.008
1,"F0.5",1,400,"Vacvit","BelowStem",0.525
1,"F0.5",1,400,"Castet","NewStems",0
1,"F0.5",1,400,"Castet","OldStems",0
1,"F0.5",1,400,"Castet","Inflor",0
1,"F0.5",1,400,"Castet","BelowStem",0
1,"F0.5",1,400,"OtherEvergreen","NewLeaves",0
1,"F0.5",1,400,"OtherEvergreen","NewStems",0
1,"F0.5",1,400,"OtherEvergreen","OldLeaves",0
1,"F0.5",1,400,"OtherEvergreen","OldStems",0
1,"F0.5",1,400,"OtherEvergreen","Inflor",0
1,"F0.5",1,400,"OtherEvergreen","BelowStem",0
1,"F0.5",1,400,"Rubcha","LeavesStems",0
1,"F0.5",1,400,"Rubcha","InflorStalks",0
1,"F0.5",1,400,"Rubcha","BelowStem",0
1,"F0.5",1,400,"Petfri","LeavesStems",0
1,"F0.5",1,400,"Petfri","InflorStalks",0
1,"F0.5",1,400,"Petfri","BelowStem",0
1,"F0.5",1,400,"OtherForb","LeavesStems",0
1,"F0.5",1,400,"OtherForb","InflorStalks",0
1,"F0.5",1,400,"OtherForb","BelowStem",0
1,"F0.5",1,400,"Sphagnum","Green",0
1,"F0.5",1,400,"OtherMoss","Green",2.861
1,"F0.5",1,400,"Lichen","Live",7.498
1,"F0.5",1,400,"Attached","Wood",0
1,"F0.5",1,400,"Attached","Litter",0
1,"F0.5",1,400,"Loose","Litter",NA
1,"F0.5",2,400,"Erivag","BladeSheathInflCulm",0.497
1,"F0.5",2,400,"Erivag","Rhizome",0.281
1,"F0.5",2,400,"Carbig","BladeSheathInflCulm",0.625
1,"F0.5",2,400,"Carbig","Rhizome",5.148
1,"F0.5",2,400,"OtherGraminoid","BladeSheathInflCulm",0
1,"F0.5",2,400,"OtherGraminoid","Rhizome",0
1,"F0.5",2,400,"Betnan","NewLeaves",1.68
1,"F0.5",2,400,"Betnan","NewStems",0.069
1,"F0.5",2,400,"Betnan","OldStems",9.077
1,"F0.5",2,400,"Betnan","Inflor",0
1,"F0.5",2,400,"Betnan","BelowStem",17.144
1,"F0.5",2,400,"Salpul","NewLeaves",0
1,"F0.5",2,400,"Salpul","NewStems",0
1,"F0.5",2,400,"Salpul","OldStems",0
1,"F0.5",2,400,"Salpul","Inflor",0
1,"F0.5",2,400,"Salpul","BelowStem",0
1,"F0.5",2,400,"Vaculi","NewLeaves",0.001
1,"F0.5",2,400,"Vaculi","NewStems",0.001
1,"F0.5",2,400,"Vaculi","OldStems",0
1,"F0.5",2,400,"Vaculi","Inflor",0
1,"F0.5",2,400,"Vaculi","BelowStem",0
1,"F0.5",2,400,"OtherDeciduous","NewLeaves",0
1,"F0.5",2,400,"OtherDeciduous","NewStems",0
1,"F0.5",2,400,"OtherDeciduous","OldStems",0
1,"F0.5",2,400,"OtherDeciduous","Inflor",0
1,"F0.5",2,400,"OtherDeciduous","BelowStem",0
1,"F0.5",2,400,"Ledpal","NewLeaves",0.479
1,"F0.5",2,400,"Ledpal","NewStems",0.132
1,"F0.5",2,400,"Ledpal","OldLeaves",0.314
1,"F0.5",2,400,"Ledpal","OldStems",1.779
1,"F0.5",2,400,"Ledpal","Inflor",0
1,"F0.5",2,400,"Ledpal","BelowStem",8.186
1,"F0.5",2,400,"Vacvit","NewLeaves",1.074
1,"F0.5",2,400,"Vacvit","NewStems",0.144
1,"F0.5",2,400,"Vacvit","OldLeaves",1.22
1,"F0.5",2,400,"Vacvit","OldStems",1.963
1,"F0.5",2,400,"Vacvit","Inflor",0.137
1,"F0.5",2,400,"Vacvit","BelowStem",2.005
1,"F0.5",2,400,"Castet","NewStems",0
1,"F0.5",2,400,"Castet","OldStems",0
1,"F0.5",2,400,"Castet","Inflor",0
1,"F0.5",2,400,"Castet","BelowStem",0
1,"F0.5",2,400,"OtherEvergreen","NewLeaves",0.004
1,"F0.5",2,400,"OtherEvergreen","NewStems",0.001
1,"F0.5",2,400,"OtherEvergreen","OldLeaves",0.03
1,"F0.5",2,400,"OtherEvergreen","OldStems",0.041
1,"F0.5",2,400,"OtherEvergreen","Inflor",0
1,"F0.5",2,400,"OtherEvergreen","BelowStem",0.014
1,"F0.5",2,400,"Rubcha","LeavesStems",0.313
1,"F0.5",2,400,"Rubcha","InflorStalks",0
1,"F0.5",2,400,"Rubcha","BelowStem",0.24
1,"F0.5",2,400,"Petfri","LeavesStems",0
1,"F0.5",2,400,"Petfri","InflorStalks",0
1,"F0.5",2,400,"Petfri","BelowStem",0
1,"F0.5",2,400,"OtherForb","LeavesStems",0.123
1,"F0.5",2,400,"OtherForb","InflorStalks",0.089
1,"F0.5",2,400,"OtherForb","BelowStem",0
1,"F0.5",2,400,"Sphagnum","Green",0.526
1,"F0.5",2,400,"OtherMoss","Green",6.241
1,"F0.5",2,400,"Lichen","Live",1.903
1,"F0.5",2,400,"Attached","Wood",0
1,"F0.5",2,400,"Attached","Litter",0
1,"F0.5",2,400,"Loose","Litter",NA
1,"F0.5",3,400,"Erivag","BladeSheathInflCulm",5.619
1,"F0.5",3,400,"Erivag","Rhizome",4.936
1,"F0.5",3,400,"Carbig","BladeSheathInflCulm",0.112
1,"F0.5",3,400,"Carbig","Rhizome",0
1,"F0.5",3,400,"OtherGraminoid","BladeSheathInflCulm",0
1,"F0.5",3,400,"OtherGraminoid","Rhizome",0
1,"F0.5",3,400,"Betnan","NewLeaves",3.735
1,"F0.5",3,400,"Betnan","NewStems",0.152
1,"F0.5",3,400,"Betnan","OldStems",2.863
1,"F0.5",3,400,"Betnan","Inflor",0
1,"F0.5",3,400,"Betnan","BelowStem",0.914
1,"F0.5",3,400,"Salpul","NewLeaves",0
1,"F0.5",3,400,"Salpul","NewStems",0
1,"F0.5",3,400,"Salpul","OldStems",0
1,"F0.5",3,400,"Salpul","Inflor",0
1,"F0.5",3,400,"Salpul","BelowStem",0
1,"F0.5",3,400,"Vaculi","NewLeaves",0.084
1,"F0.5",3,400,"Vaculi","NewStems",0.024
1,"F0.5",3,400,"Vaculi","OldStems",1.321
1,"F0.5",3,400,"Vaculi","Inflor",0
1,"F0.5",3,400,"Vaculi","BelowStem",1.006
1,"F0.5",3,400,"OtherDeciduous","NewLeaves",0
1,"F0.5",3,400,"OtherDeciduous","NewStems",0
1,"F0.5",3,400,"OtherDeciduous","OldStems",0
1,"F0.5",3,400,"OtherDeciduous","Inflor",0
1,"F0.5",3,400,"OtherDeciduous","BelowStem",0
1,"F0.5",3,400,"Ledpal","NewLeaves",0.869
1,"F0.5",3,400,"Ledpal","NewStems",0.176
1,"F0.5",3,400,"Ledpal","OldLeaves",0.325
1,"F0.5",3,400,"Ledpal","OldStems",3.573
1,"F0.5",3,400,"Ledpal","Inflor",0.059
1,"F0.5",3,400,"Ledpal","BelowStem",1.29
1,"F0.5",3,400,"Vacvit","NewLeaves",0.847
1,"F0.5",3,400,"Vacvit","NewStems",0.327
1,"F0.5",3,400,"Vacvit","OldLeaves",0.113
1,"F0.5",3,400,"Vacvit","OldStems",0.837
1,"F0.5",3,400,"Vacvit","Inflor",0
1,"F0.5",3,400,"Vacvit","BelowStem",0
1,"F0.5",3,400,"Castet","NewStems",0
1,"F0.5",3,400,"Castet","OldStems",0
